scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,mode+wording_family_id+context_structure+target_order,close_only|distance_small_large|object_subject|person_first,112,224,0.38392857142857145,0.3482142857142857,0.41964285714285715,0.11607142857142858,0,0.5133928571428571,0.10714285714285714,0.9196428571428571,0.08928571428571429,0,0.5,1.0,0.0,0.0,0,0.4642857142857143
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_small_large|object_subject|person_first,40,80,0.5875,0.35,0.825,0.175,0,0.5375,0.075,1.0,0.075,0,0.6375,0.925,0.35,0.275,0,0.2625
all,mode+wording_family_id+context_structure+target_order,original_baseline|original_placement|object_subject|object_first,112,224,0.47767857142857145,0.9375,0.017857142857142856,0.008928571428571428,0,0.45535714285714285,0.8392857142857143,0.07142857142857142,0.044642857142857144,0,0.48660714285714285,0.8482142857142857,0.125,0.017857142857142856,0,0.9598214285714286
all,mode+wording_family_id+context_structure+target_order,close_only|direct_labels|object_subject|object_first,112,224,0.5089285714285714,1.0,0.017857142857142856,0.017857142857142856,0,0.49107142857142855,0.9107142857142857,0.07142857142857142,0.07142857142857142,0,0.5,1.0,0.0,0.0,0,0.9910714285714286
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|direct_labels|object_subject|object_first,40,80,1.0,1.0,1.0,1.0,0,0.95,0.9,1.0,0.9,0,1.0,1.0,1.0,1.0,0,0.5
all,mode+wording_family_id+context_structure+target_order,close_only|proximity_synonyms|object_subject|object_first,112,224,0.07589285714285714,0.13392857142857142,0.017857142857142856,0.0,0,0.12946428571428573,0.1875,0.07142857142857142,0.0,0,0.5,1.0,0.0,0.0,0,0.5580357142857143
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|proximity_synonyms|object_subject|object_first,40,80,0.4,0.125,0.675,0.1,0,0.3875,0.15,0.625,0.025,0,0.425,0.0,0.85,0.0,0,0.225
all,mode+wording_family_id+context_structure+target_order,close_only|distance_short_long|object_subject|object_first,112,224,0.39285714285714285,0.7678571428571429,0.017857142857142856,0.017857142857142856,0,0.3080357142857143,0.5446428571428571,0.07142857142857142,0.026785714285714284,0,0.46875,0.9285714285714286,0.008928571428571428,0.008928571428571428,0,0.875
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_short_long|object_subject|object_first,40,80,0.7375,0.75,0.725,0.475,0,0.6375,0.5,0.775,0.275,0,0.7,0.4,1.0,0.4,0,0.5125
all,mode+wording_family_id+context_structure+target_order,close_only|distance_small_large|object_subject|object_first,112,224,0.38839285714285715,0.7589285714285714,0.017857142857142856,0.017857142857142856,0,0.3080357142857143,0.5446428571428571,0.07142857142857142,0.026785714285714284,0,0.4732142857142857,0.9464285714285714,0.0,0.0,0,0.8705357142857143
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_small_large|object_subject|object_first,40,80,0.6625,0.725,0.6,0.325,0,0.5375,0.5,0.575,0.075,0,0.85,0.8,0.9,0.7,0,0.5625
all,mode+wording_family_id+context_structure+target_order,original_baseline|original_placement|fronted_location|person_first,112,224,0.7678571428571429,1.0,0.5357142857142857,0.5357142857142857,0,0.7857142857142857,0.625,0.9464285714285714,0.5714285714285714,0,0.5714285714285714,0.9821428571428571,0.16071428571428573,0.14285714285714285,0,0.7321428571428571
all,mode+wording_family_id+context_structure+target_order,close_only|direct_labels|fronted_location|person_first,112,224,0.7008928571428571,0.8660714285714286,0.5357142857142857,0.41964285714285715,0,0.7410714285714286,0.5357142857142857,0.9464285714285714,0.48214285714285715,0,0.5267857142857143,0.9821428571428571,0.07142857142857142,0.05357142857142857,0,0.6651785714285714
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|direct_labels|fronted_location|person_first,40,80,0.925,0.85,1.0,0.85,0,0.725,0.45,1.0,0.45,0,0.975,0.95,1.0,0.95,0,0.425
