scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_bag,112,224,0.9017857142857143,1.0,0.8035714285714286,0.8035714285714286,0,0.8303571428571429,0.7142857142857143,0.9464285714285714,0.6607142857142857,0,0.6428571428571429,0.5,0.7857142857142857,0.2857142857142857,0,0.5982142857142857
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_bag,112,224,0.7946428571428571,0.8214285714285714,0.7678571428571429,0.625,0,0.7142857142857143,0.6785714285714286,0.75,0.5089285714285714,0,0.5178571428571429,0.2767857142857143,0.7589285714285714,0.044642857142857144,0,0.5267857142857143
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_bag,112,224,0.7857142857142857,1.0,0.5714285714285714,0.5714285714285714,0,0.8392857142857143,0.8214285714285714,0.8571428571428571,0.6785714285714286,0,0.5758928571428571,0.19642857142857142,0.9553571428571429,0.15178571428571427,0,0.7142857142857143
all,condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_bag,112,224,0.6160714285714286,0.8571428571428571,0.375,0.30357142857142855,0,0.7410714285714286,0.8571428571428571,0.625,0.5535714285714286,0,0.5357142857142857,0.33035714285714285,0.7410714285714286,0.10714285714285714,0,0.7410714285714286
all,condition_id+target_order+object_id,physical_placement|person_first|obj_book,128,256,0.953125,1.0,0.90625,0.90625,0,0.87109375,0.75,0.9921875,0.7421875,0,0.6640625,0.578125,0.75,0.328125,0,0.546875
all,condition_id+target_order+object_id,physical_placement|object_first|obj_book,128,256,0.796875,0.96875,0.625,0.6015625,0,0.71875,0.875,0.5625,0.4765625,0,0.55078125,0.3515625,0.75,0.1015625,0,0.671875
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_book,128,256,0.97265625,1.0,0.9453125,0.9453125,0,0.75,0.53125,0.96875,0.5,0,0.68359375,0.640625,0.7265625,0.3671875,0,0.52734375
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_book,128,256,0.796875,0.84375,0.75,0.6328125,0,0.81640625,0.875,0.7578125,0.6640625,0,0.66015625,0.5703125,0.75,0.3203125,0,0.546875
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_book,128,256,0.89453125,1.0,0.7890625,0.7890625,0,0.92578125,0.96875,0.8828125,0.8515625,0,0.60546875,0.2890625,0.921875,0.2109375,0,0.60546875
all,condition_id+target_order+object_id,physical_placement_person_subject|object_first|obj_book,128,256,0.734375,0.84375,0.625,0.5078125,0,0.78125,0.875,0.6875,0.625,0,0.5546875,0.359375,0.75,0.140625,0,0.609375
all,condition_id+target_order+object_id,physical_placement|person_first|obj_cone,64,128,0.84375,0.9375,0.75,0.71875,0,0.53125,0.0625,1.0,0.0625,0,0.5859375,0.390625,0.78125,0.171875,0,0.59375
all,condition_id+target_order+object_id,physical_placement|object_first|obj_cone,64,128,0.6875,0.9375,0.4375,0.40625,0,0.5,0.5,0.5,0.125,0,0.515625,0.390625,0.640625,0.03125,0,0.75
all,condition_id+target_order+object_id,physical_placement_fronted|person_first|obj_cone,64,128,0.859375,0.9375,0.78125,0.734375,0,0.53125,0.0625,1.0,0.0625,0,0.578125,0.40625,0.75,0.15625,0,0.578125
all,condition_id+target_order+object_id,physical_placement_fronted|object_first|obj_cone,64,128,0.6875,0.625,0.75,0.46875,0,0.5,0.25,0.75,0.1875,0,0.5625,0.375,0.75,0.125,0,0.4375
all,condition_id+target_order+object_id,physical_placement_person_subject|person_first|obj_cone,64,128,0.8515625,0.9375,0.765625,0.734375,0,0.53125,0.0625,1.0,0.0625,0,0.53125,0.15625,0.90625,0.0625,0,0.5859375
